一	一 廣州話：jat1
丁	丁 廣州話：ding1_(古)zang1伐木丁丁
七	七 廣州話：cat1
丈	丈 廣州話：zoeng6
三	三 廣州話：saam1_三思又讀saam3
上	上 廣州話：1)soeng6:上面_2)soeng5:上山
下	下 廣州話：1)haa6:山下_2)haa5:打十下
不	不 廣州話：bat1
丐	丐 廣州話：koi3
丑	丑 廣州話：cau2
且	且 廣州話：ce2_(古)zeoi1
丕	丕 廣州話：pei1
世	世 廣州話：sai3
丘	丘 廣州話：jau1
丙	丙 廣州話：bing2
丞	丞 廣州話：sing4
丟	丟 廣州話：diu1
並	並 廣州話：bing6_(又)bing3
丫	丫 廣州話：aa1
中	中 廣州話：1)zung1:中央_2)zung3:中毒
串	串 廣州話：cyun3
丸	丸 廣州話：jyun4_(語)jyun2
丹	丹 廣州話：daan1
主	主 廣州話：zyu2
乃	乃 廣州話：naai5
久	久 廣州話：gau2
之	之 廣州話：zi1
乍	乍 廣州話：zaa3
乎	乎 廣州話：fu4
乏	乏 廣州話：fat6
乒	乒 廣州話：ping1
乓	乓 廣州話：pong1_(又)bam1
乖	乖 廣州話：gwaai1
乘	乘 廣州話：1)sing4:乘車_2)sing6:千乘之國
乙	乙 廣州話：jyut6_(又)jyut3
九	九 廣州話：gau2
乞	乞 廣州話：hat1
也	也 廣州話：jaa5
乩	乩 廣州話：gei1
乳	乳 廣州話：jyu5
乾	乾 廣州話：1)gon1:乾燥_2)kin4:乾坤
亂	亂 廣州話：lyun6
了	了 廣州話：liu5
予	予 廣州話：1)jyu4:予取予求_2)jyu5:授予
事	事 廣州話：si6
二	二 廣州話：ji6
于	于 廣州話：jyu1_(古)jyu4之子于歸
云	云 廣州話：wan4
互	互 廣州話：wu6
五	五 廣州話：ng5
井	井 廣州話：zeng2_井井有條，井然又讀zing2
亙	亙 廣州話：gang2
些	些 廣州話：se1
亞	亞 廣州話：aa3
亟	亟 廣州話：1)gik1:需款甚亟_2)kei3:亟來問訊
亡	亡 廣州話：mong4_(古)同無
交	交 廣州話：gaau1
亥	亥 廣州話：hoi6
亦	亦 廣州話：jik6
亨	亨 廣州話：hang1_(古)同烹
享	享 廣州話：hoeng2
京	京 廣州話：ging1
亭	亭 廣州話：ting4
亮	亮 廣州話：loeng6
人	人 廣州話：jan4
什	什 廣州話：1)sap6:什一之稅_2)sam6:什麼_(俗)用作雜
仁	仁 廣州話：jan4
仃	仃 廣州話：ding1
仄	仄 廣州話：zak1
仆	仆 廣州話：fu6
仇	仇 廣州話：sau4_姓氏又讀kau4或cau4
今	今 廣州話：gam1
介	介 廣州話：gaai3
